what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1320296843519
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1320296847594
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1320296847728
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1320296853112
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1320296855070
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1320296857863
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1320296894493
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1320296894547
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1320296916639
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1320296924808
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1320296930249
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1320296930298
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1320296930313
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1320296952079
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1320296955116
executed,command,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1320296955127
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1320296955127
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1320296962625
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1320296986654
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1320296986666
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1320296986666
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1320296999660
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1320297008171
executed,command,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1320297008195
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1320297008195
